time	V(n001)	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	4.393216e+000	2.730058e+000
9.765624960978488e-015	4.882813e-007	4.393216e+000	2.730058e+000
1.953124992195698e-014	9.765625e-007	4.393216e+000	2.730058e+000
9.144531213460259e-011	4.572266e-003	4.393216e+000	2.730076e+000
1.828710930192832e-010	9.143555e-003	4.393216e+000	2.730092e+000
2.742968739039639e-010	1.371484e-002	4.393216e+000	2.730105e+000
3.657226547886445e-010	1.828613e-002	4.393216e+000	2.730115e+000
4.571484356733251e-010	2.285742e-002	4.393216e+000	2.730123e+000
5.485742165580058e-010	2.742871e-002	4.393216e+000	2.730128e+000
6.399999974426862e-010	3.200000e-002	4.393217e+000	2.730131e+000
1.279999994885372e-009	6.400000e-002	4.393217e+000	2.730148e+000
2.256562494885372e-009	1.128281e-001	4.393217e+000	2.730154e+000
1.000000000000000e-007	5.000000e+000	4.393217e+000	2.730175e+000
1.000220000000000e-007	4.998900e+000	4.393217e+000	2.730165e+000
1.000660000000000e-007	4.996700e+000	4.393217e+000	2.730146e+000
1.001540000000000e-007	4.992300e+000	4.393217e+000	2.730115e+000
1.003300000000000e-007	4.983500e+000	4.393216e+000	2.730072e+000
1.006820000000000e-007	4.965900e+000	4.393215e+000	2.730026e+000
1.013860000000000e-007	4.930700e+000	4.393214e+000	2.729993e+000
1.023625625000000e-007	4.881872e+000	4.393214e+000	2.729984e+000
2.000000000000000e-007	0.000000e+000	4.393214e+000	2.729962e+000
2.000220000000000e-007	1.100000e-003	4.393214e+000	2.729972e+000
2.000660000000002e-007	3.300000e-003	4.393214e+000	2.729991e+000
2.001540000000003e-007	7.700000e-003	4.393215e+000	2.730022e+000
2.003300000000007e-007	1.650000e-002	4.393215e+000	2.730065e+000
2.006820000000014e-007	3.410000e-002	4.393216e+000	2.730111e+000
2.013860000000028e-007	6.930000e-002	4.393217e+000	2.730144e+000
2.023625625000028e-007	1.181281e-001	4.393217e+000	2.730154e+000
3.000000000000004e-007	5.000000e+000	4.393217e+000	2.730175e+000
3.000220000000004e-007	4.998900e+000	4.393217e+000	2.730165e+000
3.000660000000004e-007	4.996700e+000	4.393217e+000	2.730146e+000
3.001540000000004e-007	4.992300e+000	4.393217e+000	2.730115e+000
3.003300000000004e-007	4.983500e+000	4.393216e+000	2.730072e+000
3.006820000000004e-007	4.965900e+000	4.393215e+000	2.730026e+000
3.013860000000005e-007	4.930700e+000	4.393214e+000	2.729993e+000
3.023625625000005e-007	4.881872e+000	4.393214e+000	2.729984e+000
4.000000000000004e-007	0.000000e+000	4.393214e+000	2.729962e+000
4.000220000000004e-007	1.100000e-003	4.393214e+000	2.729972e+000
4.000660000000005e-007	3.300000e-003	4.393214e+000	2.729991e+000
4.001540000000007e-007	7.700000e-003	4.393215e+000	2.730022e+000
4.003300000000010e-007	1.650000e-002	4.393215e+000	2.730065e+000
4.006820000000017e-007	3.410000e-002	4.393216e+000	2.730111e+000
4.013860000000030e-007	6.930000e-002	4.393217e+000	2.730144e+000
4.023625625000030e-007	1.181281e-001	4.393217e+000	2.730154e+000
5.000000000000008e-007	5.000000e+000	4.393217e+000	2.730175e+000
5.000220000000008e-007	4.998900e+000	4.393217e+000	2.730165e+000
5.000660000000009e-007	4.996700e+000	4.393217e+000	2.730146e+000
5.001540000000008e-007	4.992300e+000	4.393217e+000	2.730115e+000
5.003300000000009e-007	4.983500e+000	4.393216e+000	2.730072e+000
5.006820000000010e-007	4.965900e+000	4.393215e+000	2.730026e+000
5.013860000000012e-007	4.930700e+000	4.393214e+000	2.729993e+000
5.023625625000012e-007	4.881872e+000	4.393214e+000	2.729984e+000
6.000000000000008e-007	0.000000e+000	4.393210e+000	2.729960e+000
6.000220000000009e-007	1.100000e-003	4.393210e+000	2.729971e+000
6.000660000000010e-007	3.300000e-003	4.393210e+000	2.729990e+000
6.001540000000012e-007	7.700000e-003	4.393211e+000	2.730021e+000
6.003300000000015e-007	1.650000e-002	4.393212e+000	2.730064e+000
6.006820000000021e-007	3.410000e-002	4.393212e+000	2.730110e+000
6.013860000000033e-007	6.930000e-002	4.393213e+000	2.730143e+000
6.023625625000033e-007	1.181281e-001	4.393213e+000	2.730152e+000
7.000000000000011e-007	5.000000e+000	4.393215e+000	2.730174e+000
7.000220000000011e-007	4.998900e+000	4.393215e+000	2.730164e+000
7.000660000000012e-007	4.996700e+000	4.393215e+000	2.730145e+000
7.001540000000012e-007	4.992300e+000	4.393215e+000	2.730114e+000
7.003300000000011e-007	4.983500e+000	4.393214e+000	2.730071e+000
7.006820000000012e-007	4.965900e+000	4.393213e+000	2.730025e+000
7.013860000000014e-007	4.930700e+000	4.393212e+000	2.729992e+000
7.023625625000014e-007	4.881872e+000	4.393212e+000	2.729983e+000
8.000000000000011e-007	0.000000e+000	4.393106e+000	2.729918e+000
8.000220000000012e-007	1.100000e-003	4.393106e+000	2.729928e+000
8.000660000000013e-007	3.300000e-003	4.393106e+000	2.729947e+000
8.001540000000015e-007	7.700000e-003	4.393106e+000	2.729978e+000
8.003300000000019e-007	1.650000e-002	4.393107e+000	2.730021e+000
8.006820000000027e-007	3.410000e-002	4.393107e+000	2.730067e+000
8.013860000000043e-007	6.930000e-002	4.393108e+000	2.730100e+000
8.023625625000044e-007	1.181281e-001	4.393108e+000	2.730110e+000
9.000000000000016e-007	5.000000e+000	4.393152e+000	2.730149e+000
9.000220000000015e-007	4.998900e+000	4.393152e+000	2.730139e+000
9.000660000000015e-007	4.996700e+000	4.393152e+000	2.730120e+000
9.001540000000015e-007	4.992300e+000	4.393152e+000	2.730089e+000
9.003300000000015e-007	4.983500e+000	4.393151e+000	2.730046e+000
9.006820000000014e-007	4.965900e+000	4.393151e+000	2.730000e+000
9.013860000000014e-007	4.930700e+000	4.393150e+000	2.729967e+000
9.023625625000014e-007	4.881872e+000	4.393150e+000	2.729958e+000
9.394719375000023e-007	3.026403e+000	4.393162e+000	2.729954e+000
9.478424732142876e-007	2.607876e+000	4.393038e+000	2.729904e+000
9.562130089285728e-007	2.189350e+000	4.392905e+000	2.729850e+000
9.645835446428581e-007	1.770823e+000	4.392765e+000	2.729792e+000
9.729540803571431e-007	1.352296e+000	4.392616e+000	2.729730e+000
9.813246160714284e-007	9.337691e-001	4.392460e+000	2.729665e+000
9.896951517857136e-007	5.152424e-001	4.392295e+000	2.729595e+000
9.980656874999989e-007	9.671562e-002	4.392123e+000	2.729521e+000
9.990422499999988e-007	4.788750e-002	4.392122e+000	2.729520e+000
1.000000000000000e-006	7.904788e-014	4.392122e+000	2.729520e+000
