time	Ue	Ua
4.000871440477712e-002	-9.965142e-002	5.452755e+000
4.001016680557330e-002	-9.959333e-002	5.451257e+000
4.001621710492889e-002	-9.935132e-002	5.443285e+000
4.002490795200916e-002	-9.900368e-002	5.427393e+000
4.004622967378334e-002	-9.815081e-002	5.382251e+000
4.500000000000008e-002	1.000000e-001	-5.449792e+000
4.500154810906427e-002	9.993808e-002	-5.452372e+000
4.500309621812847e-002	9.987615e-002	-5.454223e+000
4.500464432719267e-002	9.981423e-002	-5.455346e+000
4.500619243625686e-002	9.975230e-002	-5.455741e+000
4.500774054532106e-002	9.969038e-002	-5.455408e+000
4.500928865438526e-002	9.962845e-002	-5.454346e+000
4.501083676344945e-002	9.956653e-002	-5.452556e+000
4.501717722141232e-002	9.931291e-002	-5.443684e+000
4.502624386658684e-002	9.895024e-002	-5.426685e+000
4.504681629783892e-002	9.812735e-002	-5.382434e+000
4.506738872909098e-002	9.730445e-002	-5.338003e+000
4.508796116034305e-002	9.648155e-002	-5.293392e+000
4.510853359159513e-002	9.565865e-002	-5.248600e+000
4.512910602284720e-002	9.483576e-002	-5.203629e+000
4.514967845409926e-002	9.401286e-002	-5.158477e+000
4.517025088535134e-002	9.318996e-002	-5.113145e+000
5.000000000000009e-002	-1.000000e-001	5.447822e+000
5.000149225051739e-002	-9.994031e-002	5.450349e+000
5.000298450103469e-002	-9.988062e-002	5.452185e+000
5.000447675155199e-002	-9.982093e-002	5.453328e+000
5.000596900206928e-002	-9.976124e-002	5.453780e+000
5.000746125258658e-002	-9.970155e-002	5.453539e+000
5.000895350310388e-002	-9.964186e-002	5.452607e+000
5.001044575362118e-002	-9.958217e-002	5.450983e+000
5.001664649565057e-002	-9.933414e-002	5.442590e+000
5.002551127290175e-002	-9.897955e-002	5.426189e+000
5.004740824635950e-002	-9.810367e-002	5.379689e+000
5.500000000000010e-002	1.000000e-001	-5.449792e+000
5.500152118712040e-002	9.993915e-002	-5.452345e+000
5.500304237424070e-002	9.987831e-002	-5.454187e+000
5.500456356136099e-002	9.981746e-002	-5.455320e+000
5.500608474848128e-002	9.975661e-002	-5.455743e+000
5.500760593560158e-002	9.969576e-002	-5.455456e+000
5.500912712272187e-002	9.963491e-002	-5.454460e+000
5.501064830984217e-002	9.957407e-002	-5.452754e+000
5.501690808717275e-002	9.932368e-002	-5.444133e+000
5.502588244166767e-002	9.896470e-002	-5.427415e+000
5.504808119722143e-002	9.807675e-002	-5.380196e+000
6.000000000000011e-002	-1.000000e-001	5.447822e+000
6.000145213508668e-002	-9.994191e-002	5.450302e+000
6.000290427017325e-002	-9.988383e-002	5.452119e+000
6.000435640525982e-002	-9.982574e-002	5.453273e+000
6.000580854034639e-002	-9.976765e-002	5.453764e+000
6.000726067543296e-002	-9.970957e-002	5.453592e+000
6.000871281051953e-002	-9.965148e-002	5.452757e+000
6.001016494560610e-002	-9.959340e-002	5.451259e+000
6.001621440734366e-002	-9.935142e-002	5.443289e+000
6.002490412294326e-002	-9.900384e-002	5.427401e+000
6.004622218713465e-002	-9.815111e-002	5.382267e+000
6.500000000000013e-002	1.000000e-001	-5.449792e+000
6.500151475791560e-002	9.993941e-002	-5.452340e+000
6.500302951583109e-002	9.987882e-002	-5.454182e+000
6.500454427374657e-002	9.981823e-002	-5.455317e+000
6.500605903166205e-002	9.975764e-002	-5.455747e+000
6.500757378957753e-002	9.969705e-002	-5.455470e+000
6.500908854749302e-002	9.963646e-002	-5.454486e+000
6.501060330540849e-002	9.957587e-002	-5.452797e+000
6.501685216081032e-002	9.932591e-002	-5.444224e+000
6.502579558490046e-002	9.896818e-002	-5.427589e+000
6.504786112367506e-002	9.808555e-002	-5.380675e+000
6.966431713090772e-002	-8.657268e-002	4.713801e+000
7.000000000000012e-002	-1.000000e-001	5.447822e+000
7.000145987964901e-002	-9.994161e-002	5.450310e+000
7.000291975929790e-002	-9.988321e-002	5.452130e+000
7.000437963894679e-002	-9.982481e-002	5.453282e+000
7.000583951859568e-002	-9.976642e-002	5.453766e+000
7.000729939824457e-002	-9.970802e-002	5.453581e+000
7.000875927789346e-002	-9.964963e-002	5.452728e+000
7.001021915754235e-002	-9.959123e-002	5.451207e+000
7.001629289533377e-002	-9.934828e-002	5.443164e+000
7.002501561185805e-002	-9.899937e-002	5.427179e+000
7.004644021001476e-002	-9.814239e-002	5.381793e+000
7.500013849155272e-002	9.999446e-002	-5.450089e+000
7.500155750452345e-002	9.993770e-002	-5.452442e+000
7.500297651749417e-002	9.988094e-002	-5.454164e+000
7.500439553046490e-002	9.982418e-002	-5.455255e+000
7.500581454343562e-002	9.976742e-002	-5.455716e+000
