time	V(n002)
5.000009072248578e-001	3.493160e+000
5.000010008807968e-001	3.493120e+000
5.000010376148573e-001	3.492873e+000
5.000010743489176e-001	3.492650e+000
5.000011110829781e-001	3.492451e+000
5.000011478170384e-001	3.492275e+000
5.000011845510989e-001	3.492123e+000
5.000012212851592e-001	3.491994e+000
5.000012580192197e-001	3.491889e+000
5.000013417924711e-001	3.491764e+000
5.000014541291552e-001	3.491740e+000
5.000015555991589e-001	3.491791e+000
5.000017910703595e-001	3.491957e+000
5.000019398460619e-001	3.492020e+000
5.000021799571199e-001	3.492049e+000
5.000038850310986e-001	3.491954e+000
5.000055901050774e-001	3.491857e+000
5.000072951790561e-001	3.491756e+000
5.000090002530347e-001	3.491654e+000
5.000107053270134e-001	3.491549e+000
5.000124104009922e-001	3.491441e+000
5.000141154749709e-001	3.491331e+000
5.084911468961930e-001	2.983048e+000
5.169681783174150e-001	2.492294e+000
5.254452097386372e-001	2.019069e+000
5.339222411598592e-001	1.563372e+000
5.423992725810813e-001	1.125204e+000
5.508763040023035e-001	7.045645e-001
5.593533354235255e-001	3.014535e-001
5.623533354235255e-001	1.619684e-001
5.653533354235255e-001	2.431020e-002
5.683533354235255e-001	-1.115210e-001
5.713533354235255e-001	-2.455253e-001
5.743533354235255e-001	-3.777027e-001
5.773533354235255e-001	-5.080531e-001
5.803533354235255e-001	-6.365766e-001
5.831601446487361e-001	-7.552493e-001
5.859669538739468e-001	-8.724687e-001
5.887737630991574e-001	-9.882349e-001
5.915805723243681e-001	-1.102548e+000
5.943873815495787e-001	-1.215407e+000
5.971941907747894e-001	-1.326814e+000
6.000010000000000e-001	-1.436767e+000
6.000010201520007e-001	-1.436899e+000
6.000010403040016e-001	-1.437025e+000
6.000010604560023e-001	-1.437147e+000
6.000010806080032e-001	-1.437264e+000
6.000011007600039e-001	-1.437377e+000
6.000011209120048e-001	-1.437484e+000
6.000011410640055e-001	-1.437586e+000
6.000011868513638e-001	-1.437771e+000
6.000012565227124e-001	-1.437968e+000
6.000013316289838e-001	-1.438082e+000
6.000014180954286e-001	-1.438111e+000
6.000015111152413e-001	-1.438072e+000
6.000018301793278e-001	-1.437835e+000
6.000020000000000e-001	-1.437764e+000
6.000020626241597e-001	-1.437368e+000
6.000021341946278e-001	-1.436976e+000
6.000022030671649e-001	-1.436686e+000
6.000022845052786e-001	-1.436477e+000
6.000023703896978e-001	-1.436386e+000
6.000024820447547e-001	-1.436393e+000
6.000027948782530e-001	-1.436607e+000
6.000029409256352e-001	-1.436667e+000
6.000031796803701e-001	-1.436699e+000
6.000046953472465e-001	-1.436634e+000
6.042954361282688e-001	-1.216032e+000
6.085861769092910e-001	-9.994878e-001
6.128769176903132e-001	-7.870014e-001
6.171676584713355e-001	-5.785726e-001
6.214583992523577e-001	-3.742016e-001
6.257491400333799e-001	-1.738882e-001
6.300398808144021e-001	2.236740e-002
6.320398808144021e-001	1.126323e-001
6.400398808144021e-001	4.645328e-001
6.480398808144021e-001	8.049082e-001
6.560398808144021e-001	1.133758e+000
6.640398808144021e-001	1.451083e+000
6.720398808144021e-001	1.756883e+000
6.800398808144021e-001	2.051158e+000
6.880398808144022e-001	2.333907e+000
7.000000000000001e-001	2.739412e+000
7.000000131134261e-001	2.739496e+000
7.000000262268521e-001	2.739578e+000
7.000000393402781e-001	2.739660e+000
7.000000524537040e-001	2.739741e+000
7.000000655671300e-001	2.739820e+000
7.000000786805560e-001	2.739899e+000
7.000000917939820e-001	2.739977e+000
7.000001348833506e-001	2.740202e+000
7.000001761681189e-001	2.740376e+000
7.000002463151380e-001	2.740589e+000
7.000003174955346e-001	2.740711e+000
7.000004060377956e-001	2.740755e+000
7.000004946119633e-001	2.740725e+000
7.000005570677012e-001	2.740672e+000
7.000006195234391e-001	2.740622e+000
7.000006819791769e-001	2.740576e+000
7.000007444349148e-001	2.740533e+000
7.000008068906526e-001	2.740495e+000
7.000008693463905e-001	2.740460e+000
7.000009318021283e-001	2.740428e+000
7.000010000000001e-001	2.740404e+000
7.000010477385104e-001	2.740097e+000
7.000011022968078e-001	2.739779e+000
7.000011729549027e-001	2.739440e+000
7.000012505906811e-001	2.739186e+000
7.000013347126123e-001	2.739050e+000
7.000014417773078e-001	2.739017e+000
7.000015456776692e-001	2.739065e+000
7.000017771319826e-001	2.739231e+000
7.000019250868310e-001	2.739297e+000
7.000021574450251e-001	2.739331e+000
7.000029258303384e-001	2.739296e+000
7.000036942156517e-001	2.739258e+000
7.000044626009649e-001	2.739218e+000
7.000052309862782e-001	2.739176e+000
7.000059993715915e-001	2.739131e+000
7.000067677569047e-001	2.739084e+000
7.000075361422180e-001	2.739035e+000
7.072929510986967e-001	2.325097e+000
7.145783660551754e-001	1.923610e+000
7.218637810116542e-001	1.534575e+000
7.291491959681329e-001	1.157993e+000
7.364346109246116e-001	7.938615e-001
7.437200258810903e-001	4.421822e-001
7.510054408375690e-001	1.029547e-001
7.530054408375690e-001	1.150789e-002
7.540054408375690e-001	-3.390474e-002
7.570054408375690e-001	-1.689107e-001
7.615768694089976e-001	-3.709195e-001
7.661482979804262e-001	-5.689787e-001
7.707197265518547e-001	-7.630881e-001
7.752911551232834e-001	-9.532479e-001
7.798625836947120e-001	-1.139458e+000
7.844340122661405e-001	-1.321718e+000
7.890054408375691e-001	-1.500029e+000
7.900054408375691e-001	-1.538587e+000
8.000010000000001e-001	-1.914558e+000
8.000010134387964e-001	-1.914643e+000
8.000010268775928e-001	-1.914728e+000
8.000010403163891e-001	-1.914812e+000
8.000010537551854e-001	-1.914894e+000
8.000010671939817e-001	-1.914976e+000
8.000010806327781e-001	-1.915056e+000
8.000010940715744e-001	-1.915135e+000
8.000011389974767e-001	-1.915367e+000
8.000011832506220e-001	-1.915548e+000
8.000012530593685e-001	-1.915751e+000
8.000013268371314e-001	-1.915867e+000
8.000014139141564e-001	-1.915901e+000
8.000015054076939e-001	-1.915866e+000
8.000018294399649e-001	-1.915624e+000
8.000020000000001e-001	-1.915553e+000
8.000020705787075e-001	-1.915110e+000
8.000021460881005e-001	-1.914708e+000
8.000022148798714e-001	-1.914438e+000
8.000023071660075e-001	-1.914231e+000
8.000023915850567e-001	-1.914162e+000
8.000024892699393e-001	-1.914183e+000
8.000027961152474e-001	-1.914395e+000
8.000029414227584e-001	-1.914454e+000
8.000031815495045e-001	-1.914485e+000
8.000046359635357e-001	-1.914416e+000
8.000060903775669e-001	-1.914344e+000
8.000075447915981e-001	-1.914270e+000
8.000089992056292e-001	-1.914193e+000
8.000104536196604e-001	-1.914113e+000
8.000119080336916e-001	-1.914032e+000
8.000133624477228e-001	-1.913947e+000
8.054576641029237e-001	-1.623260e+000
8.109019657581248e-001	-1.339261e+000
8.163462674133257e-001	-1.061948e+000
8.217905690685267e-001	-7.913227e-001
8.272348707237277e-001	-5.273845e-001
8.326791723789286e-001	-2.701335e-001
8.381234740341296e-001	-1.956965e-002
8.391234740341296e-001	2.585556e-002
8.411234740341296e-001	1.160889e-001
8.492663311769867e-001	4.739946e-001
8.574091883198439e-001	8.199910e-001
8.655520454627010e-001	1.154078e+000
8.736949026055582e-001	1.476256e+000
8.818377597484154e-001	1.786524e+000
8.899806168912725e-001	2.084883e+000
8.981234740341296e-001	2.371332e+000
9.000000000000001e-001	2.436133e+000
9.000000132459741e-001	2.436217e+000
9.000000264919481e-001	2.436301e+000
9.000000397379221e-001	2.436383e+000
9.000000529838961e-001	2.436465e+000
9.000000662298701e-001	2.436545e+000
9.000000794758440e-001	2.436624e+000
9.000000927218180e-001	2.436703e+000
9.000001366543621e-001	2.436931e+000
9.000001792679475e-001	2.437108e+000
9.000002492069932e-001	2.437317e+000
9.000003215543154e-001	2.437436e+000
9.000004093764561e-001	2.437476e+000
9.000004992364762e-001	2.437443e+000
9.000008285439622e-001	2.437198e+000
9.000010000000001e-001	2.437126e+000
9.000010339057003e-001	2.436902e+000
9.000010678114004e-001	2.436696e+000
9.000011017171007e-001	2.436508e+000
9.000011356228008e-001	2.436340e+000
9.000011695285011e-001	2.436189e+000
9.000012034342012e-001	2.436058e+000
9.000012373399015e-001	2.435945e+000
9.000013231967570e-001	2.435781e+000
9.000014175715654e-001	2.435734e+000
9.000015253949701e-001	2.435775e+000
9.000018273834368e-001	2.435983e+000
9.000020525558536e-001	2.436046e+000
9.000024591831470e-001	2.436050e+000
9.000025611920727e-001	2.436045e+000
9.066482685652814e-001	2.066751e+000
9.132939759384902e-001	1.707672e+000
9.199396833116988e-001	1.358807e+000
9.265853906849076e-001	1.020158e+000
9.332310980581163e-001	6.917228e-001
9.398768054313251e-001	3.735027e-001
9.465225128045338e-001	6.549738e-002
9.475225128045338e-001	1.983991e-002
9.485225128045338e-001	-2.561050e-002
9.505225128045338e-001	-1.158939e-001
9.575908681181719e-001	-4.277243e-001
9.646592234318099e-001	-7.304287e-001
9.717275787454480e-001	-1.024007e+000
9.787959340590861e-001	-1.308460e+000
9.858642893727241e-001	-1.583787e+000
9.929326446863621e-001	-1.849988e+000
