time	V(n002)
0.000000000000000e+000	-4.800532e+000
5.000000000000000e-005	-4.800532e+000
5.000219902077251e-005	-4.800532e+000
5.000659706231752e-005	-4.800532e+000
5.011701138162407e-005	-4.797557e+000
5.022742570093061e-005	-4.787354e+000
5.033784002023715e-005	-4.769923e+000
5.044825433954369e-005	-4.745265e+000
5.055866865885023e-005	-4.713378e+000
5.066908297815678e-005	-4.674264e+000
5.077949729746332e-005	-4.627923e+000
5.099999999999999e-005	-4.542096e+000
5.102205027025366e-005	-4.533183e+000
5.106615081076100e-005	-4.515328e+000
5.701122144517082e-005	-2.104492e+000
5.989993080485626e-005	-9.734136e-001
6.567734952422715e-005	1.117282e+000
7.063495321326237e-005	2.608176e+000
7.513612511826513e-005	3.561634e+000
7.986838131590342e-005	4.204319e+000
8.168561703934821e-005	4.359365e+000
8.386819987084221e-005	4.477802e+000
8.665532591737726e-005	4.585639e+000
8.933993330276930e-005	4.656822e+000
9.450988621637054e-005	4.734127e+000
1.010000000000000e-004	4.775528e+000
1.010014359884098e-004	4.775533e+000
1.010043079652295e-004	4.775543e+000
1.011151056383124e-004	4.773137e+000
1.012259033113953e-004	4.763380e+000
1.013367009844783e-004	4.746272e+000
1.014474986575612e-004	4.721814e+000
1.015582963306441e-004	4.690005e+000
1.016690940037270e-004	4.650845e+000
1.017798916768099e-004	4.604335e+000
1.020000000000000e-004	4.518743e+000
1.020220108323190e-004	4.509847e+000
1.020660324969570e-004	4.492028e+000
1.079919381152699e-004	2.089195e+000
1.108619667500419e-004	9.654492e-001
1.166020240195858e-004	-1.112364e+000
1.215509197441032e-004	-2.602147e+000
1.260567954246023e-004	-3.558657e+000
1.307903409719414e-004	-4.203394e+000
1.326116851980073e-004	-4.359254e+000
1.347935841130023e-004	-4.477999e+000
1.375832825922216e-004	-4.586224e+000
1.402679608372998e-004	-4.657595e+000
1.454386915054860e-004	-4.735635e+000
1.500000000000000e-004	-4.768548e+000
1.500011768319327e-004	-4.768554e+000
1.500035304957980e-004	-4.768565e+000
1.501149350496935e-004	-4.766226e+000
1.502263396035891e-004	-4.756485e+000
1.503377441574846e-004	-4.739342e+000
1.504491487113802e-004	-4.714797e+000
1.505605532652757e-004	-4.682850e+000
1.506719578191712e-004	-4.643500e+000
1.507833623730668e-004	-4.596749e+000
1.510000000000000e-004	-4.512125e+000
1.510216637626933e-004	-4.503369e+000
1.510649912880800e-004	-4.485833e+000
1.569540384452058e-004	-2.097866e+000
