time	V(n001)
0.000000000000000e+000	-1.000000e-001
5.000000000000000e-005	-1.000000e-001
5.000219902077251e-005	-9.956019e-002
5.000659706231752e-005	-9.868059e-002
5.011701138162407e-005	-7.659772e-002
5.022742570093061e-005	-5.451486e-002
5.033784002023715e-005	-3.243200e-002
5.044825433954369e-005	-1.034913e-002
5.055866865885023e-005	1.173373e-002
5.066908297815678e-005	3.381660e-002
5.077949729746332e-005	5.589946e-002
5.099999999999999e-005	1.000000e-001
5.102205027025366e-005	1.000000e-001
5.106615081076100e-005	1.000000e-001
5.701122144517082e-005	1.000000e-001
5.989993080485626e-005	1.000000e-001
6.567734952422715e-005	1.000000e-001
7.063495321326237e-005	1.000000e-001
7.513612511826513e-005	1.000000e-001
7.986838131590342e-005	1.000000e-001
8.168561703934821e-005	1.000000e-001
8.386819987084221e-005	1.000000e-001
8.665532591737726e-005	1.000000e-001
8.933993330276930e-005	1.000000e-001
9.450988621637054e-005	1.000000e-001
1.010000000000000e-004	1.000000e-001
1.010014359884098e-004	9.971280e-002
1.010043079652295e-004	9.913841e-002
1.011151056383124e-004	7.697887e-002
1.012259033113953e-004	5.481934e-002
1.013367009844783e-004	3.265980e-002
1.014474986575612e-004	1.050027e-002
1.015582963306441e-004	-1.165927e-002
1.016690940037270e-004	-3.381880e-002
1.017798916768099e-004	-5.597834e-002
1.020000000000000e-004	-1.000000e-001
1.020220108323190e-004	-1.000000e-001
1.020660324969570e-004	-1.000000e-001
1.079919381152699e-004	-1.000000e-001
1.108619667500419e-004	-1.000000e-001
1.166020240195858e-004	-1.000000e-001
1.215509197441032e-004	-1.000000e-001
1.260567954246023e-004	-1.000000e-001
1.307903409719414e-004	-1.000000e-001
1.326116851980073e-004	-1.000000e-001
1.347935841130023e-004	-1.000000e-001
1.375832825922216e-004	-1.000000e-001
1.402679608372998e-004	-1.000000e-001
1.454386915054860e-004	-1.000000e-001
1.500000000000000e-004	-1.000000e-001
1.500011768319327e-004	-9.976463e-002
1.500035304957980e-004	-9.929390e-002
1.501149350496935e-004	-7.701299e-002
1.502263396035891e-004	-5.473208e-002
1.503377441574846e-004	-3.245117e-002
1.504491487113802e-004	-1.017026e-002
1.505605532652757e-004	1.211066e-002
1.506719578191712e-004	3.439157e-002
1.507833623730668e-004	5.667248e-002
1.510000000000000e-004	1.000000e-001
1.510216637626933e-004	1.000000e-001
1.510649912880800e-004	1.000000e-001
1.569540384452058e-004	1.000000e-001
1.597916910557389e-004	1.000000e-001
1.654669962768051e-004	1.000000e-001
1.703771374055322e-004	1.000000e-001
1.748875890900602e-004	1.000000e-001
1.796250510527777e-004	1.000000e-001
1.814729284940231e-004	1.000000e-001
1.836523992608715e-004	1.000000e-001
1.864607806921151e-004	1.000000e-001
1.891410574276392e-004	1.000000e-001
1.943155691340414e-004	1.000000e-001
2.010000000000000e-004	1.000000e-001
2.010014445249059e-004	9.971110e-002
2.010043335747178e-004	9.913328e-002
2.011148211293047e-004	7.703577e-002
2.012253086838916e-004	5.493826e-002
2.013357962384786e-004	3.284075e-002
2.014462837930655e-004	1.074324e-002
2.015567713476524e-004	-1.135427e-002
2.016672589022393e-004	-3.345178e-002
2.017777464568262e-004	-5.554929e-002
2.020000000000000e-004	-1.000000e-001
2.020222253543173e-004	-1.000000e-001
2.020666760629521e-004	-1.000000e-001
2.080133858034854e-004	-1.000000e-001
2.109014872979745e-004	-1.000000e-001
2.166776902869528e-004	-1.000000e-001
2.216505858457626e-004	-1.000000e-001
2.261553343947841e-004	-1.000000e-001
2.308867809482833e-004	-1.000000e-001
2.326913970642959e-004	-1.000000e-001
2.348747995285319e-004	-1.000000e-001
2.376526413753490e-004	-1.000000e-001
2.403401611460529e-004	-1.000000e-001
2.473761963939599e-004	-1.000000e-001
2.500000000000000e-004	-1.000000e-001
2.500011766587412e-004	-9.976467e-002
2.500035299762236e-004	-9.929401e-002
2.501149330204319e-004	-7.701340e-002
2.502263360646402e-004	-5.473279e-002
2.503377391088485e-004	-3.245218e-002
2.504491421530568e-004	-1.017157e-002
2.505605451972651e-004	1.210904e-002
2.506719482414734e-004	3.438965e-002
2.507833512856817e-004	5.667026e-002
2.510000000000000e-004	1.000000e-001
2.510216648714318e-004	1.000000e-001
2.510649946142955e-004	1.000000e-001
2.569541404376605e-004	1.000000e-001
2.597918781666875e-004	1.000000e-001
2.654673536247413e-004	1.000000e-001
2.703776105618837e-004	1.000000e-001
2.748880509778592e-004	1.000000e-001
2.796254992762605e-004	1.000000e-001
2.814732912005527e-004	1.000000e-001
2.836527692831829e-004	1.000000e-001
2.864610900630534e-004	1.000000e-001
2.891413824305700e-004	1.000000e-001
2.943158823208776e-004	1.000000e-001
3.009999999999999e-004	1.000000e-001
3.010014445262121e-004	9.971110e-002
3.010043335786364e-004	9.913328e-002
3.011148211121173e-004	7.703578e-002
3.012253086455981e-004	5.493827e-002
3.013357961790791e-004	3.284076e-002
3.014462837125600e-004	1.074326e-002
3.015567712460409e-004	-1.135425e-002
3.016672587795218e-004	-3.345176e-002
3.017777463130027e-004	-5.554926e-002
3.020000000000000e-004	-1.000000e-001
3.020222253686997e-004	-1.000000e-001
3.020666761060992e-004	-1.000000e-001
