time	Ue	Ua
0.000000000000000e+000	-1.000000e-001	5.465638e+000
5.142320237964948e-007	-9.794307e-002	5.463480e+000
1.028464047592990e-006	-9.588614e-002	5.455463e+000
1.542696071389485e-006	-9.382922e-002	5.441586e+000
2.056928095185979e-006	-9.177229e-002	5.421849e+000
2.571160118982474e-006	-8.971536e-002	5.396252e+000
3.085392142778969e-006	-8.765843e-002	5.364796e+000
3.599624166575462e-006	-8.560150e-002	5.327479e+000
4.599624166575462e-006	-8.160150e-002	5.245538e+000
5.599624166575462e-006	-7.760150e-002	5.147999e+000
6.599624166575462e-006	-7.360151e-002	5.036875e+000
7.599624166575461e-006	-6.960151e-002	4.913898e+000
8.599624166575462e-006	-6.560151e-002	4.780557e+000
9.599624166575463e-006	-6.160150e-002	4.638128e+000
1.159962416657546e-005	-5.360150e-002	4.330249e+000
1.359962416657547e-005	-4.560150e-002	3.997353e+000
1.659962416657547e-005	-3.360150e-002	3.462393e+000
1.959962416657547e-005	-2.160150e-002	2.895780e+000
2.131390988086118e-005	-1.474436e-002	2.559390e+000
2.302819559514690e-005	-7.887218e-003	2.218853e+000
2.474248130943261e-005	-1.030075e-003	1.874169e+000
2.645676702371833e-005	5.827068e-003	1.525338e+000
2.817105273800404e-005	1.268421e-002	1.172360e+000
2.988533845228976e-005	1.954135e-002	8.152346e-001
3.159962416657547e-005	2.639850e-002	4.539620e-001
3.359962416657546e-005	3.439850e-002	3.156422e-002
3.559962416657546e-005	4.239850e-002	-3.933516e-001
3.765682071420753e-005	5.062728e-002	-8.332051e-001
3.971401726183962e-005	5.885607e-002	-1.274229e+000
4.177121380947169e-005	6.708485e-002	-1.716424e+000
4.382841035710377e-005	7.531364e-002	-2.159789e+000
4.588560690473584e-005	8.354243e-002	-2.604324e+000
4.794280345236792e-005	9.177121e-002	-3.050031e+000
5.000000000000000e-005	1.000000e-001	-3.496907e+000
5.028157850038323e-005	9.887368e-002	-3.557119e+000
5.090284595473636e-005	9.638862e-002	-3.681206e+000
5.150177286256666e-005	9.399291e-002	-3.786575e+000
5.215573219379620e-005	9.137707e-002	-3.885341e+000
5.315573219379620e-005	8.737707e-002	-4.004729e+000
5.415573219379619e-005	8.337707e-002	-4.089890e+000
5.515573219379619e-005	7.937707e-002	-4.140023e+000
5.615573219379619e-005	7.537707e-002	-4.158420e+000
5.715573219379619e-005	7.137707e-002	-4.148570e+000
5.815573219379618e-005	6.737707e-002	-4.113863e+000
5.915573219379618e-005	6.337707e-002	-4.057433e+000
6.015573219379618e-005	5.937707e-002	-3.982084e+000
6.115573219379617e-005	5.537707e-002	-3.890277e+000
6.215573219379617e-005	5.137707e-002	-3.784146e+000
6.315573219379617e-005	4.737707e-002	-3.665529e+000
6.415573219379617e-005	4.337707e-002	-3.536003e+000
6.515573219379616e-005	3.937707e-002	-3.396922e+000
6.715573219379616e-005	3.137707e-002	-3.094589e+000
6.915573219379615e-005	2.337707e-002	-2.766033e+000
7.115573219379615e-005	1.537707e-002	-2.416877e+000
7.415573219379614e-005	3.377071e-003	-1.863561e+000
7.715573219379613e-005	-8.622929e-003	-1.283741e+000
8.015573219379612e-005	-2.062293e-002	-6.846490e-001
8.215573219379612e-005	-2.862293e-002	-2.771295e-001
8.315573219379611e-005	-3.262293e-002	-7.138189e-002
8.415573219379611e-005	-3.662293e-002	1.355263e-001
8.615573219379610e-005	-4.462293e-002	5.524025e-001
8.813348473753951e-005	-5.253394e-002	9.689890e-001
9.011123728128293e-005	-6.044495e-002	1.387403e+000
9.208898982502635e-005	-6.835596e-002	1.807645e+000
9.406674236876976e-005	-7.626697e-002	2.229714e+000
9.604449491251317e-005	-8.417798e-002	2.653611e+000
9.802224745625658e-005	-9.208899e-002	3.079336e+000
9.999999999999999e-005	-1.000000e-001	3.506889e+000
1.007000000000000e-004	-9.720000e-002	3.650671e+000
1.012117632550892e-004	-9.515294e-002	3.746025e+000
1.017339467473046e-004	-9.306421e-002	3.832249e+000
1.025213857610686e-004	-8.991446e-002	3.940585e+000
1.035164994008358e-004	-8.593401e-002	4.045864e+000
1.045164994008358e-004	-8.193401e-002	4.117058e+000
1.055164994008358e-004	-7.793400e-002	4.154496e+000
1.065164994008357e-004	-7.393400e-002	4.161547e+000
1.075164994008357e-004	-6.993400e-002	4.141685e+000
1.085164994008357e-004	-6.593400e-002	4.098216e+000
1.095164994008357e-004	-6.193400e-002	4.034149e+000
1.105164994008357e-004	-5.793400e-002	3.952157e+000
1.115164994008357e-004	-5.393400e-002	3.854569e+000
1.125164994008357e-004	-4.993400e-002	3.743402e+000
1.135164994008357e-004	-4.593400e-002	3.620389e+000
1.145164994008357e-004	-4.193400e-002	3.487015e+000
1.155164994008357e-004	-3.793400e-002	3.344558e+000
1.175164994008357e-004	-2.993400e-002	3.036631e+000
1.195164994008357e-004	-2.193400e-002	2.703699e+000
1.225164994008357e-004	-9.934003e-003	2.168697e+000
1.255164994008357e-004	2.065998e-003	1.602054e+000
1.285164994008357e-004	1.406600e-002	1.012574e+000
1.305164994008357e-004	2.206600e-002	6.100112e-001
1.325164994008357e-004	3.006600e-002	2.014167e-001
1.335164994008357e-004	3.406600e-002	-4.793708e-003
1.355164994008357e-004	4.206600e-002	-4.204627e-001
1.375855709150020e-004	5.034228e-002	-8.554833e-001
1.396546424291684e-004	5.861857e-002	-1.292560e+000
1.417237139433348e-004	6.689486e-002	-1.731694e+000
1.437927854575011e-004	7.517114e-002	-2.172884e+000
1.458618569716675e-004	8.344743e-002	-2.616130e+000
1.479309284858338e-004	9.172372e-002	-3.061433e+000
1.500000000000002e-004	1.000000e-001	-3.508793e+000
1.503535125824560e-004	9.858595e-002	-3.583657e+000
1.510232579680318e-004	9.590697e-002	-3.714102e+000
1.517142761738140e-004	9.314290e-002	-3.830626e+000
1.523906346992733e-004	9.043746e-002	-3.926742e+000
1.533906346992733e-004	8.643746e-002	-4.036321e+000
1.543906346992733e-004	8.243746e-002	-4.112035e+000
1.553906346992732e-004	7.843746e-002	-4.153540e+000
1.563906346992732e-004	7.443746e-002	-4.164217e+000
1.573906346992732e-004	7.043746e-002	-4.147552e+000
1.583906346992732e-004	6.643746e-002	-4.106877e+000
1.593906346992732e-004	6.243746e-002	-4.045246e+000
1.603906346992732e-004	5.843746e-002	-3.965372e+000
1.613906346992732e-004	5.443746e-002	-3.869628e+000
1.623906346992732e-004	5.043746e-002	-3.760067e+000
1.633906346992732e-004	4.643746e-002	-3.638456e+000
1.643906346992732e-004	4.243746e-002	-3.506310e+000
1.653906346992732e-004	3.843746e-002	-3.364932e+000
1.673906346992732e-004	3.043746e-002	-3.058791e+000
1.693906346992732e-004	2.243746e-002	-2.727258e+000
1.723906346992732e-004	1.043746e-002	-2.193829e+000
1.753906346992732e-004	-1.562539e-003	-1.628312e+000
1.783906346992732e-004	-1.356254e-002	-1.039651e+000
1.813906346992732e-004	-2.556254e-002	-4.340732e-001
1.823906346992732e-004	-2.956254e-002	-2.292592e-001
1.833906346992732e-004	-3.356254e-002	-2.319717e-002
1.843906346992732e-004	-3.756254e-002	1.839960e-001
1.873906346992732e-004	-4.956254e-002	8.113617e-001
1.891919725993770e-004	-5.676789e-002	1.192181e+000
1.909933104994809e-004	-6.397324e-002	1.574415e+000
1.927946483995847e-004	-7.117859e-002	1.958065e+000
1.945959862996886e-004	-7.838394e-002	2.343130e+000
1.963973241997925e-004	-8.558930e-002	2.729611e+000
1.981986620998963e-004	-9.279465e-002	3.117508e+000
2.000000000000002e-004	-1.000000e-001	3.506820e+000
2.007000000000002e-004	-9.720000e-002	3.650606e+000
2.012117698072442e-004	-9.515292e-002	3.745965e+000
2.017339603353856e-004	-9.306416e-002	3.832193e+000
2.025214132355516e-004	-8.991434e-002	3.940535e+000
2.035165442769152e-004	-8.593382e-002	4.045821e+000
2.045165442769152e-004	-8.193383e-002	4.117019e+000
2.055165442769152e-004	-7.793383e-002	4.154460e+000
2.065165442769152e-004	-7.393382e-002	4.161514e+000
2.075165442769152e-004	-6.993382e-002	4.141655e+000
2.085165442769152e-004	-6.593382e-002	4.098188e+000
2.095165442769152e-004	-6.193382e-002	4.034123e+000
2.105165442769152e-004	-5.793382e-002	3.952133e+000
2.115165442769152e-004	-5.393382e-002	3.854548e+000
2.125165442769152e-004	-4.993382e-002	3.743382e+000
2.135165442769151e-004	-4.593382e-002	3.620369e+000
2.145165442769151e-004	-4.193382e-002	3.486997e+000
2.155165442769151e-004	-3.793382e-002	3.344541e+000
2.175165442769151e-004	-2.993382e-002	3.036615e+000
2.195165442769151e-004	-2.193382e-002	2.703684e+000
2.225165442769151e-004	-9.933823e-003	2.168684e+000
2.255165442769151e-004	2.066177e-003	1.602042e+000
2.285165442769151e-004	1.406618e-002	1.012562e+000
2.305165442769151e-004	2.206618e-002	6.099997e-001
2.325165442769151e-004	3.006618e-002	2.014054e-001
2.335165442769151e-004	3.406618e-002	-4.804807e-003
2.355165442769151e-004	4.206618e-002	-4.204735e-001
2.375856093802130e-004	5.034244e-002	-8.554926e-001
2.396546744835109e-004	5.861870e-002	-1.292568e+000
2.417237395868088e-004	6.689496e-002	-1.731700e+000
2.437928046901067e-004	7.517122e-002	-2.172889e+000
2.458618697934046e-004	8.344748e-002	-2.616134e+000
2.479309348967025e-004	9.172374e-002	-3.061435e+000
2.500000000000004e-004	1.000000e-001	-3.508793e+000
2.503525701847895e-004	9.858972e-002	-3.583463e+000
2.510214246568458e-004	9.591430e-002	-3.713770e+000
2.517113851864165e-004	9.315446e-002	-3.830179e+000
2.523873151655560e-004	9.045074e-002	-3.926308e+000
2.533873151655560e-004	8.645074e-002	-4.036010e+000
2.543873151655561e-004	8.245074e-002	-4.111842e+000
2.553873151655561e-004	7.845074e-002	-4.153455e+000
2.563873151655561e-004	7.445074e-002	-4.164229e+000
2.573873151655561e-004	7.045074e-002	-4.147649e+000
2.583873151655562e-004	6.645074e-002	-4.107049e+000
2.593873151655562e-004	6.245074e-002	-4.045483e+000
2.603873151655562e-004	5.845074e-002	-3.965665e+000
2.613873151655562e-004	5.445074e-002	-3.869970e+000
2.623873151655562e-004	5.045074e-002	-3.760452e+000
2.633873151655563e-004	4.645074e-002	-3.638878e+000
2.643873151655563e-004	4.245074e-002	-3.506765e+000
2.653873151655563e-004	3.845074e-002	-3.365415e+000
2.673873151655564e-004	3.045074e-002	-3.059322e+000
2.693873151655564e-004	2.245074e-002	-2.727826e+000
2.723873151655565e-004	1.045074e-002	-2.194439e+000
2.753873151655566e-004	-1.549261e-003	-1.628952e+000
2.783873151655566e-004	-1.354926e-002	-1.040313e+000
2.813873151655567e-004	-2.554926e-002	-4.347509e-001
2.823873151655567e-004	-2.954926e-002	-2.299412e-001
2.833873151655568e-004	-3.354926e-002	-2.388316e-002
2.843873151655568e-004	-3.754926e-002	1.833065e-001
2.873873151655569e-004	-4.954926e-002	8.106633e-001
2.891891272847631e-004	-5.675651e-002	1.191579e+000
2.909909394039693e-004	-6.396376e-002	1.573911e+000
2.927927515231755e-004	-7.117101e-002	1.957660e+000
2.945945636423817e-004	-7.837825e-002	2.342825e+000
2.963963757615880e-004	-8.558550e-002	2.729407e+000
2.981981878807942e-004	-9.279275e-002	3.117405e+000
3.000000000000004e-004	-1.000000e-001	3.506820e+000
3.007000000000004e-004	-9.720000e-002	3.650606e+000
3.012117698426058e-004	-9.515292e-002	3.745965e+000
3.017339603734469e-004	-9.306416e-002	3.832193e+000
3.025214132905703e-004	-8.991434e-002	3.940535e+000
3.035165443269795e-004	-8.593382e-002	4.045821e+000
3.045165443269796e-004	-8.193383e-002	4.117019e+000
3.055165443269796e-004	-7.793383e-002	4.154460e+000
3.065165443269796e-004	-7.393382e-002	4.161514e+000
3.075165443269796e-004	-6.993382e-002	4.141655e+000
3.085165443269797e-004	-6.593382e-002	4.098188e+000
3.095165443269797e-004	-6.193382e-002	4.034123e+000
3.105165443269797e-004	-5.793382e-002	3.952133e+000
3.115165443269797e-004	-5.393382e-002	3.854547e+000
3.125165443269797e-004	-4.993382e-002	3.743382e+000
3.135165443269798e-004	-4.593382e-002	3.620369e+000
3.145165443269798e-004	-4.193382e-002	3.486997e+000
3.155165443269798e-004	-3.793382e-002	3.344541e+000
3.175165443269799e-004	-2.993382e-002	3.036615e+000
3.195165443269799e-004	-2.193382e-002	2.703684e+000
3.225165443269800e-004	-9.933823e-003	2.168684e+000
3.255165443269801e-004	2.066177e-003	1.602042e+000
3.285165443269801e-004	1.406618e-002	1.012562e+000
3.305165443269802e-004	2.206618e-002	6.099997e-001
3.325165443269802e-004	3.006618e-002	2.014054e-001
3.335165443269803e-004	3.406618e-002	-4.804820e-003
3.355165443269803e-004	4.206618e-002	-4.204736e-001
3.375856094231261e-004	5.034244e-002	-8.554926e-001
3.396546745192718e-004	5.861870e-002	-1.292568e+000
3.417237396154176e-004	6.689496e-002	-1.731700e+000
3.437928047115633e-004	7.517122e-002	-2.172889e+000
3.458618698077091e-004	8.344748e-002	-2.616134e+000
3.479309349038548e-004	9.172374e-002	-3.061435e+000
3.500000000000006e-004	1.000000e-001	-3.508793e+000
3.503525691334193e-004	9.858973e-002	-3.583463e+000
3.510214226119073e-004	9.591431e-002	-3.713769e+000
3.517113819616272e-004	9.315448e-002	-3.830178e+000
3.523873114633166e-004	9.045076e-002	-3.926308e+000
3.533873114633167e-004	8.645076e-002	-4.036010e+000
3.543873114633167e-004	8.245075e-002	-4.111842e+000
3.553873114633167e-004	7.845075e-002	-4.153455e+000
3.563873114633167e-004	7.445075e-002	-4.164229e+000
3.573873114633168e-004	7.045075e-002	-4.147649e+000
3.583873114633168e-004	6.645075e-002	-4.107049e+000
3.593873114633168e-004	6.245076e-002	-4.045483e+000
3.603873114633168e-004	5.845075e-002	-3.965665e+000
3.613873114633169e-004	5.445075e-002	-3.869970e+000
3.623873114633169e-004	5.045075e-002	-3.760452e+000
3.633873114633169e-004	4.645075e-002	-3.638879e+000
3.643873114633169e-004	4.245076e-002	-3.506766e+000
3.653873114633170e-004	3.845076e-002	-3.365416e+000
3.673873114633170e-004	3.045075e-002	-3.059323e+000
3.693873114633170e-004	2.245075e-002	-2.727827e+000
3.723873114633171e-004	1.045075e-002	-2.194440e+000
3.753873114633172e-004	-1.549246e-003	-1.628953e+000
3.783873114633173e-004	-1.354925e-002	-1.040313e+000
3.813873114633173e-004	-2.554925e-002	-4.347516e-001
3.823873114633174e-004	-2.954925e-002	-2.299420e-001
3.833873114633174e-004	-3.354925e-002	-2.388393e-002
3.843873114633174e-004	-3.754925e-002	1.833057e-001
3.873873114633175e-004	-4.954924e-002	8.106625e-001
3.891891241114151e-004	-5.675650e-002	1.191578e+000
3.909909367595127e-004	-6.396375e-002	1.573910e+000
3.927927494076102e-004	-7.117100e-002	1.957659e+000
3.945945620557078e-004	-7.837825e-002	2.342825e+000
3.963963747038054e-004	-8.558550e-002	2.729407e+000
3.981981873519030e-004	-9.279275e-002	3.117405e+000
4.000000000000006e-004	-1.000000e-001	3.506820e+000
4.007000000000006e-004	-9.720000e-002	3.650606e+000
4.012117698426453e-004	-9.515292e-002	3.745965e+000
4.017339603734892e-004	-9.306416e-002	3.832193e+000
4.025214132906310e-004	-8.991434e-002	3.940535e+000
4.035165443270343e-004	-8.593382e-002	4.045821e+000
4.045165443270344e-004	-8.193383e-002	4.117019e+000
4.055165443270344e-004	-7.793383e-002	4.154460e+000
4.065165443270344e-004	-7.393382e-002	4.161514e+000
4.075165443270344e-004	-6.993382e-002	4.141655e+000
4.085165443270345e-004	-6.593382e-002	4.098188e+000
4.095165443270345e-004	-6.193382e-002	4.034123e+000
4.105165443270345e-004	-5.793382e-002	3.952133e+000
4.115165443270345e-004	-5.393382e-002	3.854547e+000
4.125165443270345e-004	-4.993382e-002	3.743382e+000
4.135165443270346e-004	-4.593382e-002	3.620369e+000
4.145165443270346e-004	-4.193382e-002	3.486997e+000
4.155165443270346e-004	-3.793382e-002	3.344541e+000
4.175165443270347e-004	-2.993382e-002	3.036615e+000
4.195165443270347e-004	-2.193382e-002	2.703684e+000
4.225165443270348e-004	-9.933823e-003	2.168684e+000
4.255165443270349e-004	2.066177e-003	1.602042e+000
4.285165443270349e-004	1.406618e-002	1.012562e+000
4.305165443270350e-004	2.206618e-002	6.099997e-001
4.325165443270350e-004	3.006618e-002	2.014054e-001
4.335165443270351e-004	3.406618e-002	-4.804820e-003
4.355165443270351e-004	4.206618e-002	-4.204736e-001
4.375856094231731e-004	5.034244e-002	-8.554926e-001
4.396546745193110e-004	5.861870e-002	-1.292568e+000
4.417237396154490e-004	6.689496e-002	-1.731700e+000
4.437928047115869e-004	7.517122e-002	-2.172889e+000
4.458618698077249e-004	8.344748e-002	-2.616134e+000
4.479309349038628e-004	9.172374e-002	-3.061435e+000
4.500000000000008e-004	1.000000e-001	-3.508793e+000
4.503525691322736e-004	9.858973e-002	-3.583463e+000
4.510214226096789e-004	9.591431e-002	-3.713769e+000
4.517113819581130e-004	9.315448e-002	-3.830178e+000
4.523873114592819e-004	9.045076e-002	-3.926308e+000
4.533873114592820e-004	8.645076e-002	-4.036010e+000
4.543873114592820e-004	8.245075e-002	-4.111842e+000
4.553873114592820e-004	7.845075e-002	-4.153455e+000
4.563873114592820e-004	7.445075e-002	-4.164229e+000
4.573873114592821e-004	7.045075e-002	-4.147649e+000
4.583873114592821e-004	6.645075e-002	-4.107049e+000
4.593873114592821e-004	6.245076e-002	-4.045483e+000
4.603873114592821e-004	5.845075e-002	-3.965665e+000
4.613873114592821e-004	5.445075e-002	-3.869970e+000
4.623873114592822e-004	5.045075e-002	-3.760452e+000
4.633873114592822e-004	4.645075e-002	-3.638879e+000
4.643873114592822e-004	4.245076e-002	-3.506766e+000
4.653873114592822e-004	3.845076e-002	-3.365416e+000
4.673873114592823e-004	3.045075e-002	-3.059323e+000
4.693873114592823e-004	2.245075e-002	-2.727827e+000
4.723873114592824e-004	1.045075e-002	-2.194440e+000
4.753873114592825e-004	-1.549246e-003	-1.628953e+000
4.783873114592826e-004	-1.354925e-002	-1.040313e+000
4.813873114592826e-004	-2.554925e-002	-4.347516e-001
4.823873114592827e-004	-2.954925e-002	-2.299420e-001
4.833873114592827e-004	-3.354925e-002	-2.388393e-002
4.843873114592827e-004	-3.754925e-002	1.833057e-001
4.873873114592828e-004	-4.954924e-002	8.106625e-001
4.891891241079568e-004	-5.675650e-002	1.191578e+000
4.909909367566308e-004	-6.396375e-002	1.573910e+000
4.927927494053048e-004	-7.117100e-002	1.957659e+000
4.945945620539788e-004	-7.837825e-002	2.342825e+000
4.963963747026528e-004	-8.558550e-002	2.729407e+000
4.981981873513268e-004	-9.279275e-002	3.117405e+000
5.000000000000008e-004	-1.000000e-001	3.506820e+000
5.007000000000007e-004	-9.720000e-002	3.650606e+000
5.012117698426454e-004	-9.515292e-002	3.745965e+000
5.017339603734893e-004	-9.306416e-002	3.832193e+000
5.025214132906310e-004	-8.991434e-002	3.940535e+000
