time	Ue Ua
0.000000000000000e+000	0.000000e+000	-9.852713e-004
3.250928031406350e-008	6.501856e-005	-9.812488e-004
6.501856062812700e-008	1.300371e-004	-9.839563e-004
9.752784094219050e-008	1.950557e-004	-9.933938e-004
1.300371212562540e-007	2.600742e-004	-1.009561e-003
1.625464015703175e-007	3.250928e-004	-1.032459e-003
1.950556818843810e-007	3.901114e-004	-1.062087e-003
2.275649621984444e-007	4.551299e-004	-1.098445e-003
3.465520898363730e-007	6.931042e-004	-1.346437e-003
4.918136105107525e-007	9.836272e-004	-1.842626e-003
6.730729632259912e-007	1.346146e-003	-2.793666e-003
8.915589566475190e-007	1.783118e-003	-4.463226e-003
1.185906440070992e-006	2.371813e-003	-7.633525e-003
1.571164550573137e-006	3.142329e-003	-1.337731e-002
2.107883540722415e-006	4.215767e-003	-2.433838e-002
2.865480670345223e-006	5.730961e-003	-4.548550e-002
4.066178595395519e-006	8.132357e-003	-9.198991e-002
6.358098440631630e-006	1.271620e-002	-2.135297e-001
9.950254285696105e-006	1.990051e-002	-4.586706e-001
1.372562432174326e-005	2.745125e-002	-7.691442e-001
1.839209788195050e-005	3.678419e-002	-1.203548e+000
2.365127603242352e-005	4.730255e-002	-1.730833e+000
3.054025441161967e-005	6.108051e-002	-2.453109e+000
3.878162646767648e-005	7.756326e-002	-3.338294e+000
5.000000000000000e-005	1.000000e-001	-4.556220e+000
5.085400476523699e-005	9.829199e-002	-4.642342e+000
5.136075919501100e-005	9.727848e-002	-4.686743e+000
5.195617742975684e-005	9.608764e-002	-4.731277e+000
5.270373760335079e-005	9.459253e-002	-4.775296e+000
5.388109270395536e-005	9.223782e-002	-4.821528e+000
5.545268535105923e-005	8.909463e-002	-4.848633e+000
5.718215625394003e-005	8.563568e-002	-4.840150e+000
5.884257731042503e-005	8.231485e-002	-4.796383e+000
6.130667664984847e-005	7.738665e-002	-4.683452e+000
6.418217103470490e-005	7.163566e-002	-4.502214e+000
6.783979012965239e-005	6.432042e-002	-4.216830e+000
7.201312468443395e-005	5.597375e-002	-3.842981e+000
7.717885048994893e-005	4.564230e-002	-3.337001e+000
8.331857812835024e-005	3.336284e-002	-2.702204e+000
9.109576106276799e-005	1.780848e-002	-1.872961e+000
9.999999999999999e-005	0.000000e+000	-9.103829e-001
1.008648096984063e-004	1.729619e-003	-8.234746e-001
1.013754629658596e-004	2.750926e-003	-7.789763e-001
1.019750903937858e-004	3.950181e-003	-7.344571e-001
1.027238607985043e-004	5.447722e-003	-6.908355e-001
1.039150199344447e-004	7.830040e-003	-6.449117e-001
1.055023428743834e-004	1.100469e-002	-6.187883e-001
1.072486660484015e-004	1.449733e-002	-6.289786e-001
1.089536352060028e-004	1.790727e-002	-6.755969e-001
1.114374678750321e-004	2.287494e-002	-7.918380e-001
1.143529780350348e-004	2.870596e-002	-9.781647e-001
1.180313932332621e-004	3.606279e-002	-1.267748e+000
1.222573931629034e-004	4.451479e-002	-1.648532e+000
1.274611569032940e-004	5.492231e-002	-2.160075e+000
1.336843134476154e-004	6.736863e-002	-2.804889e+000
1.415393482737943e-004	8.307870e-002	-3.643260e+000
1.500000000000002e-004	1.000000e-001	-4.558249e+000
1.508693421446327e-004	9.826132e-002	-4.645566e+000
1.513806870683376e-004	9.723862e-002	-4.690067e+000
1.519827703783361e-004	9.603446e-002	-4.734684e+000
1.527317709242533e-004	9.453646e-002	-4.778182e+000
1.539299581908921e-004	9.214009e-002	-4.824098e+000
1.555230902354972e-004	8.895382e-002	-4.849891e+000
1.572747293243576e-004	8.545054e-002	-4.839107e+000
1.589939091807585e-004	8.201218e-002	-4.791524e+000
1.614841830222952e-004	7.703163e-002	-4.674174e+000
1.644129740390652e-004	7.117406e-002	-4.486144e+000
1.680982681248723e-004	6.380346e-002	-4.195168e+000
1.723419492514042e-004	5.531610e-002	-3.812058e+000
1.775581713447989e-004	4.488366e-002	-3.298687e+000
1.838094820766556e-004	3.238104e-002	-2.650499e+000
1.916900953356009e-004	1.661981e-002	-1.809129e+000
2.000000000000002e-004	0.000000e+000	-9.103275e-001
2.008709963718298e-004	1.741993e-003	-8.228623e-001
2.013825134754405e-004	2.765027e-003	-7.783655e-001
2.019854761763411e-004	3.970952e-003	-7.337140e-001
2.027345059420363e-004	5.469012e-003	-6.902627e-001
2.039352444727390e-004	7.870489e-003	-6.443463e-001
2.055302468979428e-004	1.106049e-002	-6.186726e-001
2.072838956748776e-004	1.456779e-002	-6.296680e-001
2.090083463128411e-004	1.801669e-002	-6.776007e-001
2.115010667125349e-004	2.300213e-002	-7.953556e-001
2.144347539539246e-004	2.886951e-002	-9.840084e-001
2.181226579978230e-004	3.624532e-002	-1.275498e+000
2.223728798980593e-004	4.474576e-002	-1.659464e+000
2.275938152050944e-004	5.518763e-002	-2.173518e+000
2.338555862100271e-004	6.771117e-002	-2.822956e+000
2.417458450723297e-004	8.349169e-002	-3.665454e+000
2.500000000000004e-004	1.000000e-001	-4.558268e+000
2.508716924945143e-004	9.825662e-002	-4.645795e+000
2.513833017017247e-004	9.723340e-002	-4.690292e+000
2.519866543893354e-004	9.602669e-002	-4.734959e+000
2.527357293502684e-004	9.452854e-002	-4.778392e+000
2.539375960191324e-004	9.212480e-002	-4.824308e+000
2.555335322093642e-004	8.893294e-002	-4.849931e+000
2.572878899393800e-004	8.542422e-002	-4.838846e+000
2.590142602107429e-004	8.197148e-002	-4.790774e+000
2.615078457748657e-004	7.698431e-002	-4.672861e+000
2.644433727647334e-004	7.111325e-002	-4.483966e+000
2.681322130246219e-004	6.373557e-002	-4.192281e+000
2.723848924835393e-004	5.523022e-002	-3.807990e+000
2.776075153311393e-004	4.478497e-002	-3.293684e+000
2.838731958442207e-004	3.225361e-002	-2.643776e+000
2.917669336952395e-004	1.646613e-002	-1.800869e+000
3.000000000000004e-004	5.551115e-017	-9.103209e-001
3.008718978574987e-004	1.743796e-003	-8.227744e-001
3.013835147317767e-004	2.767029e-003	-7.782800e-001
3.019869643852139e-004	3.973929e-003	-7.336088e-001
3.027360225551385e-004	5.472045e-003	-6.901823e-001
3.039381752702917e-004	7.876351e-003	-6.442659e-001
3.055342533587415e-004	1.106851e-002	-6.186574e-001
3.072889425841891e-004	1.457789e-002	-6.297683e-001
3.090161385275061e-004	1.803228e-002	-6.778886e-001
3.115101275053391e-004	2.302025e-002	-7.958592e-001
3.144463898980321e-004	2.889278e-002	-9.848427e-001
3.181356547560146e-004	3.627131e-002	-1.276604e+000
3.223893190565834e-004	4.477864e-002	-1.661022e+000
3.276127083865130e-004	5.522542e-002	-2.175434e+000
3.338799799174793e-004	6.775996e-002	-2.825531e+000
3.417752698069005e-004	8.355054e-002	-3.668617e+000
3.500000000000006e-004	1.000000e-001	-4.558270e+000
3.508720416360913e-004	9.825592e-002	-4.645830e+000
3.513836895079877e-004	9.723262e-002	-4.690325e+000
3.519872308066930e-004	9.602554e-002	-4.735000e+000
3.527363168702002e-004	9.452736e-002	-4.778423e+000
3.539387316712445e-004	9.212254e-002	-4.824340e+000
3.555350852149202e-004	8.892983e-002	-4.849937e+000
3.572898459022389e-004	8.542031e-002	-4.838807e+000
3.590172785843256e-004	8.196545e-002	-4.790663e+000
3.615113555804213e-004	7.697729e-002	-4.672666e+000
3.644478795520835e-004	7.110424e-002	-4.483643e+000
3.681372473399987e-004	6.372551e-002	-4.191853e+000
3.723912598192758e-004	5.521748e-002	-3.807386e+000
3.776148337026713e-004	4.477033e-002	-3.292942e+000
3.838826446444606e-004	3.223471e-002	-2.642779e+000
3.917783321434939e-004	1.644334e-002	-1.799644e+000
4.000000000000006e-004	0.000000e+000	-9.103200e-001
4.008720336729537e-004	1.744067e-003	-8.227612e-001
4.013836655959453e-004	2.767331e-003	-7.782671e-001
4.019871886209304e-004	3.974377e-003	-7.335930e-001
4.027362511209981e-004	5.472502e-003	-6.901703e-001
4.039386170889459e-004	7.877234e-003	-6.442538e-001
4.055348575879931e-004	1.106972e-002	-6.186551e-001
4.072897035352223e-004	1.457941e-002	-6.297834e-001
4.090173124959037e-004	1.803463e-002	-6.779320e-001
4.115114926322433e-004	2.302299e-002	-7.959352e-001
4.144481426891256e-004	2.889629e-002	-9.849684e-001
4.181376128113378e-004	3.627523e-002	-1.276771e+000
4.223917954958510e-004	4.478359e-002	-1.661257e+000
4.276155548233221e-004	5.523111e-002	-2.175723e+000
4.338836549119494e-004	6.776731e-002	-2.825918e+000
4.417797032746971e-004	8.355941e-002	-3.669094e+000
4.500000000000008e-004	1.000000e-001	-4.558270e+000
4.508720945549687e-004	9.825581e-002	-4.645834e+000
4.513837482928923e-004	9.723251e-002	-4.690330e+000
4.519873181804743e-004	9.602536e-002	-4.735006e+000
4.527364059356669e-004	9.452718e-002	-4.778428e+000
4.539389038447374e-004	9.212219e-002	-4.824344e+000
4.555353207062209e-004	8.892936e-002	-4.849938e+000
4.572901424677431e-004	8.541971e-002	-4.838801e+000
4.590177360977031e-004	8.196453e-002	-4.790646e+000
4.615118875884760e-004	7.697622e-002	-4.672636e+000
4.644485626327605e-004	7.110287e-002	-4.483594e+000
4.681380104186262e-004	6.372398e-002	-4.191787e+000
4.723922249147788e-004	5.521555e-002	-3.807295e+000
4.776159429949134e-004	4.476811e-002	-3.292829e+000
4.838840768362046e-004	3.223184e-002	-2.642628e+000
4.917800599327189e-004	1.643988e-002	-1.799458e+000
5.000000000000008e-004	0.000000e+000	-9.103199e-001
5.008720543074462e-004	1.744109e-003	-8.227592e-001
5.013836885177372e-004	2.767377e-003	-7.782651e-001
5.019872226902972e-004	3.974445e-003	-7.335906e-001
5.027362858496247e-004	5.472572e-003	-6.901684e-001
5.039386842214305e-004	7.877368e-003	-6.442520e-001
5.055349494048821e-004	1.106990e-002	-6.186548e-001
5.072898191627759e-004	1.457964e-002	-6.297858e-001
5.090174908614102e-004	1.803498e-002	-6.779386e-001
5.115117000419984e-004	2.302340e-002	-7.959467e-001
5.144484089912138e-004	2.889682e-002	-9.849875e-001
5.181379103056689e-004	3.627582e-002	-1.276796e+000
5.223921717445985e-004	4.478434e-002	-1.661292e+000
